,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459682.9936227,331.0205836,34.9443021,2,19.300369262695312,0.15201500058174133,59682.49362270022
1,2459680.0063542,331.0205846,34.9443547,2,19.106599807739258,0.11553400009870529,59679.50635420019
2,2459680.0038542,331.0205909,34.9443413,2,19.25550079345703,0.11844299733638763,59679.50385419978
3,2459680.0013426,331.0206835,34.9443532,2,19.158300399780273,0.12687799334526062,59679.50134260021
4,2459679.9988426,331.0206091,34.9443257,2,19.179800033569336,0.12928099930286407,59679.4988425998
5,2459679.9963426,331.0205617,34.9444125,2,19.373300552368164,0.18657700717449188,59679.49634259986
6,2459679.0074537,331.0205875,34.9444193,2,19.152999877929688,0.10450900346040726,59678.50745370006
7,2459679.0049537,331.0206311,34.9443947,2,19.217199325561523,0.11374899744987488,59678.50495370012
8,2459679.0024421,331.0206169,34.9443667,2,19.11280059814453,0.12748600542545319,59678.502442100085
9,2459678.9999421,331.0206157,34.9443853,2,19.052099227905273,0.11891700327396393,59678.49994210014
10,2459678.9974421,331.0205698,34.9444206,2,19.174800872802734,0.11988300085067749,59678.4974421002
11,2459678.0084375,331.0207427,34.9443368,2,19.068099975585938,0.11528199911117554,59677.50843749987
12,2459678.0059375,331.0205742,34.9443883,2,19.094999313354492,0.14077599346637726,59677.505937499925
13,2459678.0034375,331.0207113,34.9444354,2,19.119800567626953,0.12800200283527374,59677.50343749998
14,2459678.0009375,331.0205956,34.9443946,2,19.04360008239746,0.16675299406051636,59677.50093750004
15,2459677.9984375,331.0205416,34.9443232,2,19.152999877929688,0.17080800235271454,59677.49843750009
17,2459677.0054398,331.0207251,34.94428,2,18.979799270629883,0.2178959995508194,59676.50543980021
18,2459677.0029398,331.0206469,34.9444298,2,19.032899856567383,0.17911900579929352,59676.5029397998
20,2459676.0104514,331.0205885,34.9443857,2,19.000900268554688,0.09512600302696228,59675.51045140019
21,2459676.0079167,331.0206142,34.9443726,2,19.04159927368164,0.09688500314950943,59675.507916700095
22,2459676.0053704,331.0205669,34.9443973,2,19.09950065612793,0.1205969974398613,59675.505370399915
23,2459676.0028356,331.0205988,34.9443958,2,19.061399459838867,0.0952569991350174,59675.50283560017
24,2459676.0002894,331.0205652,34.944408,2,19.020200729370117,0.09212400019168854,59675.50028940011
25,2459675.0109722,331.0206108,34.9443869,2,18.916900634765625,0.1232059970498085,59674.51097219996
26,2459675.0084259,331.0206181,34.9443778,2,18.919200897216797,0.1182439997792244,59674.50842589978
27,2459675.0058796,331.0206026,34.9443784,2,18.927200317382812,0.10100000351667404,59674.50587960007
28,2459675.0033333,331.0206241,34.9444241,2,18.959299087524414,0.10408899933099747,59674.50333329989
29,2459675.0007986,331.02061,34.9443895,2,18.979299545288086,0.09757299721240997,59674.500798599795
30,2459674.0107755,331.0205424,34.9443502,2,18.965299606323242,0.14156199991703033,59673.51077549998
31,2459674.0082292,331.0205631,34.9443466,2,18.853700637817383,0.16299200057983398,59673.5082291998
32,2459674.0056944,331.0206966,34.9443935,2,18.88010025024414,0.11562299728393555,59673.50569440005
33,2459674.0031597,331.0206272,34.9443529,2,18.865699768066406,0.13897299766540527,59673.50315969996
34,2459674.0006134,331.020684,34.9443384,2,18.88920021057129,0.11859200149774551,59673.50061339978
35,2459672.0131713,331.0206225,34.9443824,2,18.78660011291504,0.08366599678993225,59671.513171299826
36,2459672.0106597,331.0206112,34.9443975,2,18.804000854492188,0.08436000347137451,59671.510659699794
37,2459672.0081366,331.0206381,34.9444032,2,18.813600540161133,0.07989100366830826,59671.50813659979
38,2459672.0056134,331.0205982,34.9444264,2,18.798599243164062,0.08452600240707397,59671.505613400135
39,2459672.0031019,331.0205999,34.9443917,2,18.786399841308594,0.07100699841976166,59671.50310190022
40,2459671.0152894,331.0206478,34.9443921,2,18.825300216674805,0.1009029969573021,59670.51528939977
41,2459671.0127662,331.0206862,34.9443447,2,18.75909996032715,0.11228600144386292,59670.51276620012
42,2459671.0102431,331.0206041,34.9443858,2,18.679800033569336,0.08415400236845016,59670.510243100114
43,2459671.0077199,331.0206092,34.9443974,2,18.76889991760254,0.0806640014052391,59670.50771989999
44,2459671.0052083,331.0206433,34.9443581,2,18.7406005859375,0.10032700002193451,59670.50520829996
